user_id,item_id,interaction,timestamp
0,0,1,1074556800
1,0,1,1404518400
2,0,1,1360627200
3,0,1,1350086400
4,0,1,1370044800
5,0,1,1374278400
6,0,1,1343174400
7,0,1,1294012800
8,0,1,1306972800
9,0,1,1170720000
10,0,1,1385942400
11,1,1,1359244800
12,1,1,1009584000
13,1,1,1163030400
14,1,1,1040083200
15,1,1,1151625600
16,1,1,1055116800
17,1,1,962236800
18,1,1,1213574400
8,1,1,1358812800
19,1,1,1338681600
20,1,1,1204070400
12,2,1,1339545600
21,2,1,1398643200
22,2,1,1379030400
23,2,1,1326585600
24,2,1,1258502400
25,2,1,1206403200
26,2,1,1292198400
27,2,1,1115424000
28,2,1,1388707200
29,2,1,1265500800
30,2,1,1238889600
8,2,1,1333584000
31,2,1,1190764800
32,2,1,1388707200
33,3,1,1338422400
0,3,1,1078963200
34,3,1,1018915200
35,3,1,1155340800
36,3,1,961200000
37,3,1,1034726400
38,3,1,1062460800
39,3,1,1007164800
40,3,1,956966400
41,3,1,1123718400
42,3,1,1104105600
43,3,1,1011484800
44,3,1,1021593600
45,3,1,1020556800
46,3,1,1086048000
47,4,1,1314144000
12,4,1,1291939200
48,4,1,1344211200
49,4,1,1340409600
50,4,1,1236643200
51,4,1,1294272000
52,4,1,1349654400
53,4,1,1383436800
8,4,1,1290297600
54,4,1,1335398400
55,4,1,1388534400
56,4,1,1403222400
57,5,1,1243209600
58,5,1,1163116800
59,5,1,1135296000
60,5,1,1182988800
61,5,1,1176940800
62,5,1,1261440000
63,5,1,1261958400
64,5,1,1234828800
65,5,1,1373846400
66,5,1,1221004800
67,5,1,1404604800
68,6,1,1177632000
59,6,1,1134432000
69,6,1,1227830400
70,6,1,1374710400
71,6,1,1120176000
72,6,1,1151712000
73,6,1,1201305600
74,6,1,1252281600
75,6,1,1397606400
43,6,1,1159056000
76,6,1,1282867200
77,6,1,1271203200
78,7,1,1359849600
79,7,1,1397433600
80,7,1,1347840000
81,7,1,1331251200
82,7,1,1401494400
83,7,1,1376352000
84,7,1,1326758400
85,7,1,1393977600
86,7,1,1353456000
87,7,1,1292716800
11,8,1,1372896000
88,8,1,1281484800
89,8,1,1178323200
90,8,1,1364860800
91,8,1,1350086400
37,8,1,1100044800
92,8,1,1362009600
93,8,1,1267056000
94,8,1,1379980800
95,8,1,1027296000
96,8,1,1207008000
97,9,1,1397260800
98,9,1,1384387200
99,9,1,1402704000
100,9,1,1312502400
21,9,1,1363392000
101,9,1,1367280000
102,9,1,1021334400
5,9,1,1352505600
103,9,1,1339027200
104,9,1,1152403200
105,9,1,1378252800
106,10,1,1353715200
107,10,1,1383782400
108,10,1,1304380800
109,10,1,1383091200
88,10,1,1243555200
110,10,1,1193184000
111,10,1,1388620800
112,10,1,1275436800
113,10,1,1355270400
114,10,1,1362355200
